line,raw,nearby_context,p_tier,status
294,16 & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,32 & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0,not yet run
295,PMU only & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,16 & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0 (table row),not yet run
296,Cyber/log only & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,PMU only & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0 (table row),not yet run
301,"\resulttodo{Identify the smallest budget preserving discrimination within a stated tolerance of the full set, and its payload reduction factor.}",\end{table},P1,not yet run
314,Logistic Regression & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,\midrule,P0 (table row),not yet run
315,Random Forest & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Logistic Regression & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttod,P0 (table row),not yet run
316,XGBoost & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Random Forest & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & ,P0 (table row),not yet run
317,Compact MLP & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,XGBoost & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resul,P0 (table row),not yet run
318,Feature-space CNN & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Compact MLP & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} & \r,P0 (table row),not yet run
325,"\resulttodo{Identify the most damaging degradation class, the most single-point-sensitive relay, and the most gracefully degrading model.}",\figuretodo{fig:missingness}{Run-aware performance as missing telemetry increase,P0,not yet run
338,Edge (edge-visible features) & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,\midrule,P0,not yet run
339,"Central, clean aggregation & \resulttodo{} & \resulttodo{} & \resulttodo{} \\",Edge (edge-visible features) & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0 (table row),not yet run
340,"Central, 10\% missing & \resulttodo{} & \resulttodo{} & \resulttodo{} \\","Central, clean aggregation & \resulttodo{} & \resulttodo{} & \resulttodo{} \\",P0 (table row),not yet run
341,"Central, logs delayed & \resulttodo{} & \resulttodo{} & \resulttodo{} \\","Central, 10\% missing & \resulttodo{} & \resulttodo{} & \resulttodo{} \\",P0 (table row),not yet run
342,"Central, one relay lost & \resulttodo{} & \resulttodo{} & \resulttodo{} \\","Central, logs delayed & \resulttodo{} & \resulttodo{} & \resulttodo{} \\",P0 (table row),not yet run
347,"\resulttodo{State whether full central visibility survives realistic aggregation impairment better than structurally limited edge visibility, and under which im",\end{table},P0,not yet run
360,Fixed 0.5 & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,\midrule,P0 (table row),not yet run
361,Max F1 & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Fixed 0.5 & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0 (table row),not yet run
362,Max Youden $J$ & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Max F1 & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0 (table row),not yet run
363,Constrained FPR & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Max Youden $J$ & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0 (table row),not yet run
377,Random Forest & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,\midrule,P0 (table row),not yet run
378,XGBoost & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,Random Forest & \resulttodo{} & \resulttodo{} & \resulttodo{} & \resulttodo{} \\,P0 (table row),not yet run
383,"\resulttodo{State threshold variability across runs, resulting alert-load ranges, and whether per-alert SHAP fits the operational envelope or requires selective",\end{table},P0,not yet run
389,Reporting milliseconds and AUC in isolation invites arbitrary interpretation. Referencing standardized transfer-time classes and reporting intervals converts th,\subsection{Budgets Convert Benchmarks into Engineering Verdicts},P0,not yet run
401,"At the edge, the availability budget binds structurally; centrally, it binds stochastically through aggregation impairment while the latency budget absorbs coll",\subsection{Placement Determines Which Budget Binds},P0,not yet run
472,"\resulttodo{AUTHORS: add one survey on digital-substation communication engineering / latency verification (e.g., a 61850 process-bus performance study).}",\bibitem{substation-comms-survey},bibliography (human),not yet run
475,\resulttodo{AUTHORS: add one edge/lightweight IDS survey or representative paper.},\bibitem{edge-ids-survey},bibliography (human),not yet run
478,\resulttodo{AUTHORS: add one TinyML / resource-constrained detection reference.},\bibitem{tinyml-ids},bibliography (human),not yet run
481,\resulttodo{AUTHORS: add one reference on inference-time missing features / feature robustness in tabular ML.},\bibitem{missing-features-ml},bibliography (human),not yet run
